"Nom de l’IA","URL API","Forces","Faiblesses"
"Google Gemini (AI Studio)","https://ai.google.dev/","Modèles multimodaux puissants, quotas généreux, API simple","Intégration technique, réservé aux devs avancés"
"Hugging Face Inference","https://huggingface.co/inference-api","Grande diversité de modèles, API flexible, communauté active","Limites de taille de modèle, perf pouvant varier"
"OpenRouter","https://openrouter.ai/docs","Accès universel à de nombreux modèles, gestion centralisée des clés","Certains quotas gratuits flous selon modèle"
"Groq","https://console.groq.com/","Excellente rapidité, accès à des modèles open source optimisés","Fonctionnalités avancées limitées, modèles spécifiques"
"Cohere","https://dashboard.cohere.com/api-keys","Modèles texte fiables, documentation claire","Quotas gratuits mensuels faibles pour de gros besoins"
"Clarifai","https://portal.clarifai.com/signup","Spécialisée image/vidéo, outils annotatifs complets","1 000 requêtes gratuites/mois, API complexe"
"Mistral AI","https://docs.mistral.ai/","Modèles français/francophones solides, API gratuite (usage limité)","Moins robuste que Gemini/OpenAI selon tâches, doc perfectible"
"DeepSeek","https://platform.deepseek.com/docs","Bon rapport rapidité/prix, accès API direct","Documentation technique, idéal via OpenRouter"
"Anthropic Claude (mini)","https://docs.anthropic.com/claude/docs/getting-started","Bon pour le dialogue, sécurité conversation IA","Version gratuite limitée, accès via agrégateur (OpenRouter)"
"Meta Llama","https://llama.meta.com/get-started/","Raisonnement avancé, open source, accès via HuggingFace/OpenRouter","Pas d'API directe Meta, accès indirect avec quota"